id,qname,heading,text,type,diagram,website,updated
,RoadLane,RoadLane,A RoadLane is a type of TravelledWayLane that forms part of a RoadSegment.,Class,https://w3id.org/citydata/part3/v1/diagrams/RoadLane.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/RoadLane'>Web</a></body></html>,2026-08-13T11:27:31.144745
,ScheduledCode,ScheduledCode,"The operational status of an entity, e.g., open or closed.",Class,https://w3id.org/citydata/part3/v1/diagrams/ScheduledCode.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/ScheduledCode'>Web</a></body></html>,2026-08-13T11:27:31.144745
,FootpathLink,FootpathLink,A Footpath Link is a type of TravelledWayLink designed for pedestrians.,Class,https://w3id.org/citydata/part3/v1/diagrams/FootpathLink.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/FootpathLink'>Web</a></body></html>,2026-08-13T11:27:31.144745
,TravelledWayLane,TravelledWayLane,"A TravelledWayLane is a NetworkElement that is a portion of TravelledWaySegment intended to accommodate a single line of moving material entities (e.g., vehicles) along its length.",Class,https://w3id.org/citydata/part3/v1/diagrams/TravelledWayLane.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/TravelledWayLane'>Web</a></body></html>,2026-08-13T11:27:31.144745
,PublicTransportSystemThing,PublicTransportSystemThing,"Added for organizational purposes, to identify classes defined in the Public Transport System Pattern ontology.",Class,https://w3id.org/citydata/part3/v1/diagrams/PublicTransportSystemThing.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/PublicTransportSystemThing'>Web</a></body></html>,2026-08-13T11:27:31.144745
,RoadLinkUserType,RoadLinkUserType,A RoadLinkUserType represents the unique combination of a RoadLink and a UserType such that speed limits and other characteristics can be defined to apply to specific user types when operating along a particular road link.,Class,https://w3id.org/citydata/part3/v1/diagrams/RoadLinkUserType.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/RoadLinkUserType'>Web</a></body></html>,2026-08-13T11:27:31.144745
,RoadSection,RoadSection,"A RoadSection is a type of TravelledWaySection that groups RoadLinks and RoadSegments for a useful operational purpose (e.g., assigning a speed limit, designating a traffic control scheme).",Class,https://w3id.org/citydata/part3/v1/diagrams/RoadSection.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/RoadSection'>Web</a></body></html>,2026-08-13T11:27:31.144745
,GroupOfLines,GroupOfLines,A GroupOfLines is a logical grouping of PublicTransportLines for any useful purpose.,Class,https://w3id.org/citydata/part3/v1/diagrams/GroupOfLines.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/GroupOfLines'>Web</a></body></html>,2026-08-13T11:27:31.144745
,MicromobilityPathSegment,MicromobilityPathSegment,"A MicromobilityPathSegment can be defined to be a part of a MicromobilityPathSection, especially when the MicromobilityPathSection does not span an entire MicromobilityLink.",Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityPathSegment.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/MicromobilityPathSegment'>Web</a></body></html>,2026-08-13T11:27:31.144745
,TransportAlert,TransportAlert,A TransportAlert is a type of alert that can be used to notify people of important transport information.,Class,https://w3id.org/citydata/part3/v1/diagrams/TransportAlert.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/TransportAlert'>Web</a></body></html>,2026-08-13T11:27:31.144745
,PublicTransportSystem,PublicTransportSystem,A PublicTransportSystem provides transport services to members of the public.,Class,https://w3id.org/citydata/part3/v1/diagrams/PublicTransportSystem.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/PublicTransportSystem'>Web</a></body></html>,2026-08-13T11:27:31.144745
,TravelledWaySegment,TravelledWaySegment,A TravelledWaySegment is a type of a transinfras:TravelledWaySegment and NetworkElement that represents a contiguous length of a TravelledWayLink characterized by the same physical characteristics.,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelledWaySegment.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/TravelledWaySegment'>Web</a></body></html>,2026-08-13T11:27:31.144745
,MicromobilityPathSection,MicromobilityPathSection,"A MicromobilityPathSections is a type of RoadSection that groups MicromobilityLinks and MicromobilityPathSegments for a useful operational purpose (e.g., assigning a speed limit, designating areas of shared use).",Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityPathSection.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/MicromobilityPathSection'>Web</a></body></html>,2026-08-13T11:27:31.144745
,FootpathNetwork,FootpathNetwork,A FootpathNetwork is a type of TransportNetwork designed for the use of pedestrians but may be used by others as well.,Class,https://w3id.org/citydata/part3/v1/diagrams/FootpathNetwork.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/FootpathNetwork'>Web</a></body></html>,2026-08-13T11:27:31.144745
,PointOnRoute,PointOnRoute,A PointOnRoute represents an ordered RoutePoint for a PublicTransportRoute.,Class,https://w3id.org/citydata/part3/v1/diagrams/PointOnRoute.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/PointOnRoute'>Web</a></body></html>,2026-08-13T11:27:31.144745
,TrackLink,TrackLink,"Due to the nature of rail, each TrackLink consists of a single lane, but multiple TrackLinks can exist along the same RailCorridor.",Class,https://w3id.org/citydata/part3/v1/diagrams/TrackLink.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/TrackLink'>Web</a></body></html>,2026-08-13T11:27:31.144745
,RailSection,RailSection,"A RailSection is a type of TravelledWaySection that groups TrackLinks and TrackSegments for a useful operational purpose (e.g., assigning a speed limit, designating a traffic control scheme).",Class,https://w3id.org/citydata/part3/v1/diagrams/RailSection.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/RailSection'>Web</a></body></html>,2026-08-13T11:27:31.144745
,TransportNetwork,TransportNetwork,"A TransportNetwork is a NetworkElement that is a collection of other network elements that jointly represent a network of paths along which entities (e.g., vehicles, pedestrians) of a specified mode can operate.",Class,https://w3id.org/citydata/part3/v1/diagrams/TransportNetwork.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/TransportNetwork'>Web</a></body></html>,2026-08-13T11:27:31.144745
,MicromobilityLink,MicromobilityLink,A MicromobilityLink is a type of RoadLink designed for micromobility vehicles.,Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityLink.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/MicromobilityLink'>Web</a></body></html>,2026-08-13T11:27:31.144745
,MicromobilityPath,MicromobilityPath,A MicromobilityPath is a type of Road that is made up of MicromobilityPathLinks.,Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityPath.dot.svg,<html><body><a href='https://w3id.org/citydata/part3/v1/MicromobilityPath'>Web</a></body></html>,2026-08-13T11:27:31.144745
