id,qname,heading,text,type,diagram,website,updated
,RailCorridor,RailCorridor,A RailCorridor is a type of TravelledWay that is made up of TrackLinks.,Class,https://w3id.org/citydata/part3/v1/diagrams/RailCorridor.dot.svg,https://w3id.org/citydata/part3/v1/RailCorridor,2026-07-23T17:44:22.205530
,Footpath,Footpath,A Footpath is a type of TravelledWay that is made up of FootpathLinks.,Class,https://w3id.org/citydata/part3/v1/diagrams/Footpath.dot.svg,https://w3id.org/citydata/part3/v1/Footpath,2026-07-23T17:44:22.205530
,PublicTransportSystem,PublicTransportSystem,A PublicTransportSystem provides transport services to members of the public.,Class,https://w3id.org/citydata/part3/v1/diagrams/PublicTransportSystem.dot.svg,https://w3id.org/citydata/part3/v1/PublicTransportSystem,2026-07-23T17:44:22.205530
,VehicleFlowRate,VehicleFlowRate,A flow rate measured in vehicles per unit time.,Class,https://w3id.org/citydata/part3/v1/diagrams/VehicleFlowRate.dot.svg,https://w3id.org/citydata/part3/v1/VehicleFlowRate,2026-07-23T17:44:22.205530
,MicromobilityNetwork,MicromobilityNetwork,"A MicromobilityNetwork is a type of RoadNetwork designed for the use of micromobility vehicles, which have more limited performance characteristics than motor vehicles.",Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityNetwork.dot.svg,https://w3id.org/citydata/part3/v1/MicromobilityNetwork,2026-07-23T17:44:22.205530
,RoutePoint,RoutePoint,A RoutePoint represents a point of interest along a PublicTransportRoute.,Class,https://w3id.org/citydata/part3/v1/diagrams/RoutePoint.dot.svg,https://w3id.org/citydata/part3/v1/RoutePoint,2026-07-23T17:44:22.205530
,RoadLinkUserType,RoadLinkUserType,A RoadLinkUserType represents the unique combination of a RoadLink and a UserType such that speed limits and other characteristics can be defined to apply to specific user types when operating along a particular road link.,Class,https://w3id.org/citydata/part3/v1/diagrams/RoadLinkUserType.dot.svg,https://w3id.org/citydata/part3/v1/RoadLinkUserType,2026-07-23T17:44:22.205530
,PublicTransportRoute,PublicTransportRoute,A PublicTransportRoute represents one specific path used by a public transport vehicle to transport passengers to and from designated locations.,Class,https://w3id.org/citydata/part3/v1/diagrams/PublicTransportRoute.dot.svg,https://w3id.org/citydata/part3/v1/PublicTransportRoute,2026-07-23T17:44:22.205530
,Junction,Junction,A Junction is a TransportNode that allows a traveller to connect from one TravelledWayLink to another.,Class,https://w3id.org/citydata/part3/v1/diagrams/Junction.dot.svg,https://w3id.org/citydata/part3/v1/Junction,2026-07-23T17:44:22.205530
,RoadSection,RoadSection,"A RoadSection is a type of TravelledWaySection that groups RoadLinks and RoadSegments for a useful operational purpose (e.g., assigning a speed limit, designating a traffic control scheme).",Class,https://w3id.org/citydata/part3/v1/diagrams/RoadSection.dot.svg,https://w3id.org/citydata/part3/v1/RoadSection,2026-07-23T17:44:22.205530
,TravelCorridorLink,TravelCorridorLink,A TravelCorridorLink is a type of TravelledWayLink that is made up of TravelCorridorSegments.,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelCorridorLink.dot.svg,https://w3id.org/citydata/part3/v1/TravelCorridorLink,2026-07-23T17:44:22.205530
,FootpathSegment,FootpathSegment,"A FootpathSegment can be defined to be a part of a FootpathSection, especially when the FootpathSection does not span an entire FootpathLink.",Class,https://w3id.org/citydata/part3/v1/diagrams/FootpathSegment.dot.svg,https://w3id.org/citydata/part3/v1/FootpathSegment,2026-07-23T17:44:22.205530
,TravelCorridor,TravelCorridor,A TravelCorridor is a type of TravelledWay that is made up of TravelCorridorLinks.,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelCorridor.dot.svg,https://w3id.org/citydata/part3/v1/TravelCorridor,2026-07-23T17:44:22.205530
,TravelledWaySection,TravelledWaySection,A TravelledWaySection is a type of NetworkElement that represents an aggregation of TravelledWayLinks and TravelledWaySegments that jointly represent a contiguous length of a path that shares the same management and operational strategies (within the scope of interest of the implementation).,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelledWaySection.dot.svg,https://w3id.org/citydata/part3/v1/TravelledWaySection,2026-07-23T17:44:22.205530
,TravelledWaySegment,TravelledWaySegment,A TravelledWaySegment is a type of a transinfras:TravelledWaySegment and NetworkElement that represents a contiguous length of a TravelledWayLink characterized by the same physical characteristics.,Class,https://w3id.org/citydata/part3/v1/diagrams/TravelledWaySegment.dot.svg,https://w3id.org/citydata/part3/v1/TravelledWaySegment,2026-07-23T17:44:22.205530
,MicromobilityLane,MicromobilityLane,A MicromobilityLane is a type of RoadLane that forms part of a MicromobilityPathSegment.,Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityLane.dot.svg,https://w3id.org/citydata/part3/v1/MicromobilityLane,2026-07-23T17:44:22.205530
,TransportNetwork,TransportNetwork,"A TransportNetwork is a NetworkElement that is a collection of other network elements that jointly represent a network of paths along which entities (e.g., vehicles, pedestrians) of a specified mode can operate.",Class,https://w3id.org/citydata/part3/v1/diagrams/TransportNetwork.dot.svg,https://w3id.org/citydata/part3/v1/TransportNetwork,2026-07-23T17:44:22.205530
,RailNetwork,RailNetwork,A RailNetwork is a type of TransportNetwork using rails on a stabilized base.,Class,https://w3id.org/citydata/part3/v1/diagrams/RailNetwork.dot.svg,https://w3id.org/citydata/part3/v1/RailNetwork,2026-07-23T17:44:22.205530
,MicromobilityPathSegment,MicromobilityPathSegment,"A MicromobilityPathSegment can be defined to be a part of a MicromobilityPathSection, especially when the MicromobilityPathSection does not span an entire MicromobilityLink.",Class,https://w3id.org/citydata/part3/v1/diagrams/MicromobilityPathSegment.dot.svg,https://w3id.org/citydata/part3/v1/MicromobilityPathSegment,2026-07-23T17:44:22.205530
